acc	feature	start..end	content_fraction	content_count	length
Q59LY1	prediction-plddt-alphafold	22..30,279..357	0.218	92	422
Q59LY1	homology-domain-gene3d	274..357	0.199	84	422
Q59LY1	homology-domain-pfam	282..313	0.076	32	422
Q59LY1	homology-domain-merge	274..357	0.199	84	422
Q59LY1	prediction-disorder-mobidb_lite	1..86,116..207	0.422	178	422
Q59LY1	prediction-low_complexity-mobidb_lite_sub	1..19,36..45,69..81,120..143,160..194	0.239	101	422
Q59LY1	prediction-polar-mobidb_lite_sub	46..61,146..159,195..205	0.097	41	422
Q59LY1	prediction-disorder-th_50	1..103,106..107,111..207,224..240,251..251,253..259,286..294,336..339,379..381,383..388,398..401,403..422	0.647	273	422
Q59LY1	prediction-low_complexity-merge	2..19,36..45,69..81,120..143,160..194,207..228,231..235,405..418	0.334	141	422
Q59LY1	prediction-disorder-iupl	1..212,223..262,267..270,272..273,278..297,325..353,359..360,364..365,369..372,374..391,396..422	0.853	360	422
Q59LY1	prediction-disorder-iups	1..16,18..85,93..95,107..107,116..214,224..251,253..259,272..272,336..348,372..374,376..377,379..381,383..392,398..422	0.661	279	422
Q59LY1	prediction-disorder-espN	1..103,106..242,247..266,288..289,335..339,378..388,396..401,405..422	0.716	302	422
Q59LY1	prediction-disorder-espD	1..49	0.116	49	422
Q59LY1	prediction-disorder-espX	1..206,403..422	0.536	226	422
Q59LY1	prediction-disorder-glo	1..5,7..11,31..50,65..106,111..123,126..162,201..207,222..240,251..266,281..300,362..405,418..419	0.545	230	422
Q59LY1	prediction-disorder-dis465	1..17,45..53,69..81,123..140,151..163,173..207,234..236,284..294,318..319,353..353,408..422	0.325	137	422
Q59LY1	prediction-disorder-disHL	1..48,50..57,67..86,92..100,132..140,151..160,273..283,286..299,325..340,408..418,421..422	0.374	158	422
Q59LY1	prediction-disorder-vsl	1..263,275..280,284..297,324..422	0.905	382	422
Q59LY1	prediction-low_complexity-seg	2..19,36..45,69..81,120..143,160..194,207..228,231..235,406..417	0.329	139	422
Q59LY1	prediction-low_complexity-pfilt	2..19,166..177,405..418	0.104	44	422
Q59LY1	prediction-lip-anchor	19..30,47..68,82..95,99..124,137..147,163..175,209..226,240..249,266..272,302..322,342..349,362..377,383..404,419..422	0.483	204	422
